,Positive distance,Negative distance
2573,6.9238825,15.622713
2574,5.8371,20.718925
2575,6.198091,22.387217
2576,3.6872594,23.702469
2577,4.320021,12.38948
2578,2.3048503,29.18511
2579,4.093389,25.41637
2580,4.8093405,18.823954
2581,6.0275593,22.287909
2582,4.329781,27.478882
2583,5.6797323,15.7614355
2584,2.4289546,16.18586
2585,5.9071245,16.429348
2586,3.5033643,18.792252
2587,6.934148,28.088058
2588,3.89104,17.116678
2589,7.3726697,27.867502
2590,5.270649,19.2014
2591,3.7419095,19.796774
2592,6.236168,13.014002
2593,4.403839,29.338593
2594,6.480324,30.726986
2595,6.313799,29.663805
2596,7.2267427,36.59583
2597,6.422744,16.86142
2598,8.86129,32.44433
2599,7.47314,16.684723
2600,6.277985,21.023075
2601,3.0270393,13.792345
2602,4.7541857,25.857372
2603,4.98731,23.83794
2604,7.0378222,12.403916
2605,4.0043025,22.64581
2606,7.233408,20.37006
2607,5.1427555,31.172342
2608,7.5793257,20.032509
2609,5.9846187,21.332462
2610,8.872343,16.892311
2611,5.690469,24.457163
2612,5.7628675,17.706215
2613,5.7076817,22.30136
2614,4.7266235,12.768429
2615,3.8155606,21.400616
2616,4.3762407,18.984077
2617,5.786832,11.816318
2618,4.749416,17.990822
2619,4.4160004,30.74653
2620,5.225992,30.278503
2621,6.993718,17.397978
2622,6.9840546,20.939323
2623,2.623224,7.152589
2624,6.423711,19.979313
2625,7.987586,20.76205
2626,7.1571455,25.497774
2627,5.454872,20.281912
2628,8.341972,21.968853
2629,4.8716516,25.270155
2630,4.599044,21.181917
2631,4.513081,15.215247
2632,4.742628,19.356773
2633,7.2941227,14.902714
2634,8.44498,25.477394
2635,3.109482,15.729155
2636,3.7043786,22.43898
2637,4.9886813,17.946217
2638,5.556406,14.054077
2639,5.776988,20.487835
2640,6.722274,13.138819
2641,7.80369,24.512604
2642,5.5445185,11.83881
2643,7.4465055,22.01741
2644,3.1146848,22.766502
2645,3.946899,22.75103
2646,5.1005144,26.606293
2647,3.6775439,12.372614
2648,9.357945,26.143766
2649,7.2172384,7.541388
2650,3.1208353,21.136955
2651,6.1819115,20.110409
